Amount paid to date,Case number,Proposed penalty,Standard violated,citation number,link to standard
Not  Assessed Yet,,Not  Assessed Yet,56.14132(a),8912694,http://www.ecfr.gov/cgi-bin/text-idx?SID=f462b60350e1a59e963680947dff1a01&node=se30.1.56_114132&rgn=div8
351.00,000427623,351.00,56.12028,8638781,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12028.pdf
117.00,000411633,117.00,56.9300(a),8903435,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf
117.00,000411633,117.00,46.11(d),8903434,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-11.pdf
100.00,000411633,100.00,56.12004,8903436,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf
100.00,000411633,100.00,47.41(a),8903432,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec47-41.pdf
100.00,000411633,100.00,56.14100(b),8903433,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14100.pdf
100.00,000397972,100.00,56.14100(c),8822975,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf
100.00,000397972,100.00,56.14101(a)(2),8822976,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14101.pdf
100.00,000397972,100.00,56.9300(a),8822973,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf
100.00,000397972,100.00,56.9300(b),8822977,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf
100.00,000397972,100.00,56.14100(b),8822974,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf
100.00,000382609,100.00,56.14211(b),8818269,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14211.pdf
100.00,000382609,100.00,56.12040,8818270,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12040.pdf
100.00,000375494,100.00,56.12004,8818247,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf
100.00,000360091,100.00,56.14100(b),8835757,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf
100.00,000360091,100.00,50.30(a),8835756,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf
100.00,000346593,100.00,56.14100(a),8732850,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf
117.00,000334543,117.00,56.9300(a),8729316,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf
100.00,000334543,100.00,56.18002(b),8729317,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-18002.pdf
100.00,000315004,100.00,56.11003,8723396,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-11003.pdf
100.00,000315004,100.00,56.14107(a),8723395,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14107.pdf
100.00,000296474,100.00,56.9100(a),8638087,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9100.pdf
100.00,000293592,100.00,56.14132(a),8638086,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14132.pdf
807.00,000293592,807.00,56.14100(b),8638085,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf
100.00,000273703,100.00,46.9(a),8637959,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec46-9.pdf
100.00,000256650,100.00,56.12032,8630131,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12032.pdf
100.00,000230512,100.00,56.12028,8547870,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12028.pdf
100.00,000230512,100.00,56.18010,8547867,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18010.pdf
100.00,000230512,100.00,46.9(a),8547868,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec46-9.pdf
100.00,000230512,100.00,56.14107(a),8547863,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14107.pdf
100.00,000230512,100.00,56.4402,8547865,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-4402.pdf
243.00,000230512,243.00,56.9300(a),8547866,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf
100.00,000230512,100.00,56.15020,8547862,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15020.pdf
100.00,000218132,100.00,56.12004,8544317,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12004.pdf
100.00,000218132,100.00,56.14132(a),8544318,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf
"2,000.00",000158499,"2,000.00",56.3131,7751780,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-3131.pdf
100.00,000158499,100.00,56.14103(a),7751779,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14103.pdf
100.00,000141737,100.00,56.12008,7780184,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12008.pdf
100.00,000141737,100.00,56.14112(b),7780186,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf
100.00,000141737,100.00,56.14112(b),7780185,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf
100.00,000141737,100.00,56.12018,7780187,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12018.pdf
350.00,000109664,350.00,56.12006,7765211,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12006.pdf
60.00,000089619,60.00,56.12004,6110217,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12004.pdf
60.00,000089619,60.00,56.12025,6110211,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12025.pdf
60.00,000089619,60.00,56.4101,6110215,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-4101.pdf
60.00,000089619,60.00,56.14100(b),6110213,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-14100.pdf
614.00,000089619,614.00,56.12013(b),6110214,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12013.pdf
60.00,000089619,60.00,47.41(a),6110216,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec47-41.pdf
60.00,000089619,60.00,56.16006,6110212,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-16006.pdf
60.00,000063118,60.00,50.30,6088757,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec50-30.pdf
60.00,000058196,60.00,56.4200(a)(1),6094156,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4200.pdf
60.00,000058196,60.00,56.14132(a),6094158,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-14132.pdf
60.00,000058196,60.00,56.4102,6094157,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4102.pdf
60.00,000058196,60.00,56.20003(a),6094159,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-20003.pdf
268.00,000041636,268.00,56.12016,6093407,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-12016.pdf
60.00,000041636,60.00,46.9(c)(2)(i),6093409,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec46-9.pdf
60.00,000041636,60.00,56.14132(a),6093408,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14132.pdf
106.00,080130605503,106.00,56.14103(c)(1),6092153,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-14103.pdf
60.00,080130605503,60.00,56.9300(a),6092152,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-9300.pdf
60.00,080130605503,60.00,56.20003(a),6092154,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-20003.pdf
133.00,080130605503,133.00,56.4402,6092151,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-4402.pdf
104.00,080130605502,104.00,56.14132(b)(1)(i),7763977,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14132.pdf
55.00,080130605502,55.00,56.20003(a),7763975,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-20003.pdf
55.00,080130605502,55.00,56.16006,7763979,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-16006.pdf
55.00,080130605502,55.00,56.4230(a)(1),7763978,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-4230.pdf
104.00,080130605502,104.00,56.14100(b),7763976,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14100.pdf
55.00,080130605501,55.00,62.130(a),7764984,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec62-130.pdf
55.00,080130605501,55.00,56.14107(a),7764901,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14107.pdf
Non-Assessable,080130605501,Non-Assessable,,7764906,
55.00,080130605501,55.00,56.12004,7764902,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12004.pdf
113.00,080130605501,113.00,56.14130(g),7764907,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14130.pdf
55.00,080130605501,55.00,56.1000,7764905,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-1000.pdf
55.00,080130605501,55.00,56.12028,7764904,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12028.pdf
113.00,080130605501,113.00,56.12013,7764908,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12013.pdf
55.00,080130605501,55.00,56.18010,7764903,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-18010.pdf
